Parameter,Tradescantia_avg,Tradescantia_std,Peperomia_avg,Peperomia_std,Monalisa_avg,Monalisa_std,Philodendron_avg,Philodendron_std,Chlorophytum_avg,Chlorophytum_std,Sphatophilum_avg,Sphatophilum_std
f(Io_Icomp) = ,0.06867061601332052,0.02301610778095092,0.0450329858777982,0.06121040785667131,0.04670410596117591,0.03492746826105483,0.09349067975278344,0.07746707732738489,0.134199490091378,0.04413630017195336,0.16629498308988036,0.036260571683506417
b = ,0.00010978198703205171,1.7781088031662527e-05,0.00010419332170201638,1.25799651060491e-05,0.0002071124148646143,0.00013583525204815674,0.00010208791684362186,6.263750530865529e-06,0.00010534680900301534,1.309695380950683e-05,0.00034147684743020203,0.00022146768252994574
g = ,0.011420547243593884,0.0029512539403452817,0.008165244081801174,0.011911398244365193,0.005399458505806659,0.0060567053179912764,0.043178168564618716,0.05581304339704152,0.010033337966518646,0.003966553149121648,0.020356088352667043,0.011582340440946878
Icomp =,20.756997180351096,4.077766211104227,1.1405592574453731,2.865757594142867,0.00010000000283260061,2.6244203889278608e-14,5.557386431156662,11.022926997060766,0.00010000000000010001,0.0,0.37089170824753387,1.1123751247405982
Light saturation point,,,,,,,,,,,,
Isat =,938.5774439168357,147.48848224102846,1506.6095389447319,669.256871598014,1157.4218631774352,650.6220671008075,796.7405213720592,498.22044532158884,925.3571650637792,199.47694223280035,416.29056656130086,140.30499084403166
Isat(50) =,98.5714202811987,20.920369491459358,203.46711880784554,138.0908722437166,179.0838190265239,129.98256312057217,74.56504317042828,78.98330072441907,77.92093586757862,30.309304732883486,37.149207253959126,9.97608538742009
Isat(85) =,289.0856148945399,59.392329773639176,584.9657961138569,350.5685331374463,483.46804385144134,320.44787434151755,234.73804752772764,218.07576350944052,268.5343254830625,88.86855459665793,122.36143560750492,29.362867391003864
Isat(90) =,360.62332512026575,71.5007668606162,705.8691307771103,406.4926630476771,575.2095535164344,371.64804391539536,294.00936519661343,261.1983157773098,340.2723792374418,106.50541069531917,153.89575319811465,36.96358547924406
Isat(95) =,479.336825592207,89.67505882455374,890.915308526886,482.87568502343305,713.0092559783787,444.01325749882193,393.0236621664134,324.57849471153366,459.64180465569984,131.8447124993515,206.44288341075588,51.79345529900989
Imax =,427.77777777777777,157.13591074113023,657.0,262.3694913666602,713.0,249.75027527512356,302.1111111111111,188.04417329742262,662.3333333333334,187.71858370088637,291.1111111111111,75.68428576072519
Light-saturated net CO2 uptake,,,,,,,,,,,,
Pgmax = ,6.212036600671567,1.6142993705125777,4.808427817826521,2.2362586785827503,6.679475809484221,1.679076801693968,2.6257592071257925,1.198261496735709,11.617226778061939,3.6055719955982966,7.442465472353277,3.125441539875806
PN(Imax) = ,4.374567140378772,1.2365737800435146,4.1298346433265865,1.863159456540505,6.3991762504819265,1.7873307160027971,2.3941813915526597,1.2588671450726505,11.488533160943073,3.61287026967828,7.3036762899847,3.223726086009588
Dark respiration,,,,,,,,,,,,
RD =,1.4055762073904174,0.5110625691560139,0.16460722436191003,0.4042964001175333,4.670410728095487e-06,3.4927469244800606e-06,0.0558865497795388,0.11005608860145169,1.3419949009151221e-05,4.413630017199749e-06,0.06505818274062576,0.19512500167231392
Quantum yield at specific I,,,,,,,,,,,,
f(Io) = ,0.08589910219143249,0.03068241478363322,0.048795942424298105,0.0684155097881823,0.04670414891480346,0.034927526322444044,0.09381771251941205,0.07710475027124944,0.13419963490503797,0.04413638357410568,0.16909556150739136,0.037984947240442685
f(Icomp) = ,0.055048007875769536,0.01770824406822761,0.04172547027541493,0.05509338709913859,0.04670406300760286,0.0349274101997668,0.0932085813970982,0.07777885502556153,0.13419934527789032,0.04413621676997415,0.16384421136798266,0.03631246733960667
f(Io_Icomp) = ,0.024010899109924863,0.024817664919426392,0.027745577142431047,0.06485988463553201,2.7823121324509485e-05,0.0002122469834929245,-4.893210501133748e-06,0.00026099288521897113,-1.1625785724847066e-05,4.630832416261682e-05,0.021978744897010294,0.0679907775012274
f(Icomp_I200) = ,1.0872995361475009,0.00499448831367041,1.0656422322403705,0.002392474077923964,1.0638477216213105,0.0009554590607512199,1.0705074170277922,0.012991187261336128,1.0609259439522556,0.0012223479043117255,1.061718182045605,0.0023291742181362697
